YEAR,SPECIES,METRIC.TONS,POUNDS,POUNDS.millions.,VALUE,VALUE.millions.,PRICEperLB,NUM_LICENSE_HOLDERS,NUM_TRAPS_MILLIONS,WATER_TEMP_BOOTHBAY_HARBOR_C
1936,"LOBSTER, AMERICAN",2322.982604481,5121300,5.1213,"$900,000",0.9,$0.18,NA,0.185,7.5
1937,"LOBSTER, AMERICAN",3332.951375523,7347900,7.3479,"$1,400,000",1.4,$0.19,NA,0.186,9.0
1938,"LOBSTER, AMERICAN",3473.9732433560002,7658800,7.6588,NA,NA,$0.00,"3,592",0.258,7.3
1939,"LOBSTER, AMERICAN",3004.958732776,6624800,6.6248,"$1,000,000",1.0,$0.15,"3,722",0.26,6.4
1940,"LOBSTER, AMERICAN",3467.5775909390004,7644700,7.6447,"$1,300,000",1.3,$0.17,"3,717",0.222,7.0
1941,"LOBSTER, AMERICAN",4054.7075546670003,8939100,8.9391,"$1,600,000",1.6,$0.18,"3,648",0.194,7.9
1942,"LOBSTER, AMERICAN",3812.670666035,8405500,8.4055,"$1,800,000",1.8,$0.21,"3,511",0.187,8.1
1943,"LOBSTER, AMERICAN",5202.885920848,11470400,11.4704,"$2,900,000",2.9,$0.25,"4,239",0.209,7.4
1944,"LOBSTER, AMERICAN",6377.100489067001,14059100,14.0591,"$4,000,000",4.0,$0.28,"4,926",0.252,8.0
1945,"LOBSTER, AMERICAN",8678.492096736,19132800,19.1328,"$7,700,000",7.7,$0.40,"6,241",0.378,8.4
1946,"LOBSTER, AMERICAN",8518.4647086,18780000,18.78,"$7,200,000",7.2,$0.38,"6,574",0.473,8.5
1947,"LOBSTER, AMERICAN",8291.441727415,18279500,18.2795,"$6,800,000",6.8,$0.37,"5,338",0.516,9.2
1948,"LOBSTER, AMERICAN",7224.2295992790005,15926700,15.9267,"$6,400,000",6.4,$0.40,"5,345",0.439,8.2
1949,"LOBSTER, AMERICAN",8743.491883357001,19276100,19.2761,"$6,700,000",6.7,$0.35,"5,424",0.462,6.7
1950,"LOBSTER, AMERICAN",8324.599329662,18352600,18.3526,"$6,412,311",6.4123,$0.35,"5,152",0.43,9.9
1951,"LOBSTER, AMERICAN",9416.350805015,20759500,20.7595,"$7,214,107",7.2141,$0.35,"4,653",0.383,10.8
1952,"LOBSTER, AMERICAN",9088.312803031,20036300,20.0363,"$8,511,821",8.5118,$0.42,"5,032",0.417,10.1
1953,"LOBSTER, AMERICAN",10115.245928711,22300300,22.3003,"$8,411,229",8.4112,$0.38,"5,497",0.49,11.1
1954,"LOBSTER, AMERICAN",9828.303395449,21667700,21.6677,"$8,087,156",8.0872,$0.37,"5,794",0.488,10.2
1955,"LOBSTER, AMERICAN",10304.756820897,22718100,22.7181,"$8,716,012",8.7160,$0.38,"6,051",0.532,10.0
1956,"LOBSTER, AMERICAN",9331.438313351,20572300,20.5723,"$9,119,807",9.1198,$0.44,"5,892",0.533,9.2
1957,"LOBSTER, AMERICAN",11068.923886636,24402800,24.4028,"$8,954,234",8.9542,$0.37,"6,068",0.565,9.2
1958,"LOBSTER, AMERICAN",9666.960589440001,21312000,21.312,"$10,445,004",10.4450,$0.49,"6,236",0.609,8.5
1959,"LOBSTER, AMERICAN",10128.173311256001,22328800,22.3288,"$11,252,686",11.2527,$0.50,"6,488",0.717,8.3
1960,"LOBSTER, AMERICAN",10892.657891654,24014200,24.0142,"$10,967,018",10.9670,$0.46,"6,636",0.745,8.8
1961,"LOBSTER, AMERICAN",9488.199836423,20917900,20.9179,"$11,119,803",11.1198,$0.53,"6,472",0.752,8.5
1962,"LOBSTER, AMERICAN",10013.187645461,22075300,22.0753,"$11,195,609",11.1956,$0.51,"5,658",0.767,8.1
